customer_name,rating,review_text,date,store_location
Kristin H.,5,Expédition Multi,27/07/2025,Multi
GUYLAINE D.,5,Facilité d'utilisation du site,27/07/2025,ISTRES
Nicolas C.,5,"Livraison rapide, prix très correct.",27/07/2025,PONT L'ABBE
GINETTE R.,4,Livraison rapide,27/07/2025,FEURS
KATLEEN D.,5,Commande rapide et conforme,27/07/2025,AVIGNON MISTRAL 7
AZIZ S.,5,bon prix et livraison rapide,27/07/2025,LAGNY LE SEC
Patrick H.,5,Tout est parfait commande livraison,27/07/2025,GUERANDE
Isabelle B.,5,"Délais de livraison respecté, produit conforme à ma commande",27/07/2025,PODENSAC
Michele V.,1,"Commande incomplète et aucune communication concernant la partie manquante de la commande , ni sur un éventuel remboursement",27/07/2025,AUXERRE
PIERRETTE H.,5,Responsable rayon vélo accueillant.,27/07/2025,Multi
SANDRA M.,5,Site facile à naviguer,27/07/2025,Multi
Isabelle T.,5,Très satisfaite,27/07/2025,Multi
VERONIQUE L.,5,Article de très bonne qualité pour un prix soldé très correct. Envoi rapide.,27/07/2025,SAINT DENIS
REGIS F.,4,Renvoi obligatoire des chaussures de randonnée Merrell commandées. La paire comportait 2 pieds gauches!!,27/07/2025,LA VILLE DU BOIS
SYLVIE M.,1,"Je n ai pas reçu les chaussures de la couleur commandée, heureusement la taille était le bonne",27/07/2025,LAGNY LE SEC
Evelyne B.,4,Efficace,27/07/2025,SALON DE PROVENCE
Evelyne B.,4,Efficace,2025-07-27,SALON DE PROVENCE
CLAUDE B.,3,Colis pas du tout approprié pour l'article.,2025-07-27,ANGERS - Beaucouzé
Monique A.,5,Bon rapport qualité prix,2025-07-27,GRENOBLE - Saint Egrève
AZZIZ I.,5,"La rapidité, l'accueil",2025-07-27,HENIN BEAUMONT
FABRICE C.,4,"Accueil, choix, prix, disponibilité des produits",2025-07-27,BIGANOS
GUYLAINE D.,5,Facilité d'utilisation du site,2025-07-27,ISTRES
Nicolas C.,5,"Livraison rapide, prix très correct.",2025-07-27,PONT L'ABBE
GINETTE R.,4,Livraison rapide,2025-07-27,FEURS
KATLEEN D.,5,Commande rapide et conforme,2025-07-27,AVIGNON MISTRAL 7
AZIZ S.,5,bon prix et livraison rapide,2025-07-27,LAGNY LE SEC
Patrick H.,5,Tout est parfait commande livraison,2025-07-27,GUERANDE
Isabelle B.,5,"Délais de livraison respecté, produit conforme à ma commande",2025-07-27,PODENSAC
